,GAME_ID,TEAM_NAME,PTS,WINNER,DEFLECTIONS_RATIO,DEFLECTIONS_DIFF,CONTEST_RATE,CONTEST_RATE_2,CONTEST_RATE_3,CHARGES_RATIO,CHARGES_DIFF,SCREEN_AST_RATIO,SCREEN_AST_DIFF,SCREEN_AST_PTS_RATIO,SCREEN_AST_PTS_DIFF,LOOSE_RATIO,LOOSE_DIFFERENCE,OFF_BOXOUT_RATIO,OFF_BOXOUT_DIFF,DEF_BOXOUT_RATIO,DEF_BOXOUT_DIFF,BOXOUT_TM_RBS_RATIO,BOXOUT_TM_RBS_DIFF
37,21800019,Raptors,113,1,0.45454545454545453,-1,0.8383838383838383,0.8412698412698413,0.8333333333333334,1.0,3,0.6,3,0.6216216216216216,9,0.4166666666666667,-2,0.6,2,0.5063291139240507,1,0.55,4
38,21800020,Hawks,117,0,0.5909090909090909,4,0.8271604938271605,0.8545454545454545,0.7692307692307693,0.0,-3,0.4375,-2,0.4473684210526316,-4,0.45,-2,0.5,0,0.5,0,0.5217391304347826,1
39,21800020,Grizzlies,131,1,0.4090909090909091,-4,0.6144578313253012,0.5471698113207547,0.7333333333333333,1.0,3,0.5625,2,0.5526315789473685,4,0.55,2,0.5,0,0.5,0,0.4782608695652174,-1
40,21800021,Cavaliers,123,0,0.35714285714285715,-8,0.6666666666666666,0.6612903225806451,0.68,0.0,0,0.6428571428571429,4,0.6333333333333333,8,0.391304347826087,-5,0.75,4,0.7058823529411765,21,0.7142857142857143,12
41,21800021,Timberwolves,131,1,0.6428571428571429,8,0.6559139784946236,0.6285714285714286,0.7391304347826086,0.0,0,0.35714285714285715,-4,0.36666666666666664,-8,0.6086956521739131,5,0.25,-4,0.29411764705882354,-21,0.2857142857142857,-12
42,21800022,Kings,129,0,0.5,0,0.6631578947368421,0.578125,0.8387096774193549,0.0,0,0.5333333333333333,1,0.5151515151515151,1,0.45454545454545453,-1,0.14285714285714285,-5,0.36363636363636365,-15,0.36363636363636365,-9
43,21800022,Pelicans,149,1,0.5,0,0.6875,0.6338028169014085,0.84,0.0,0,0.4666666666666667,-1,0.48484848484848486,-1,0.5454545454545454,1,0.8571428571428571,5,0.6363636363636364,15,0.6363636363636364,9
44,21800023,Pacers,101,0,0.5555555555555556,3,0.7204301075268817,0.6808510638297872,0.7608695652173914,1.0,2,0.5555555555555556,3,0.515625,2,0.42857142857142855,-3,0.5,0,0.45454545454545453,-5,0.42857142857142855,-5
45,21800023,Bucks,118,1,0.4444444444444444,-3,0.7126436781609196,0.6956521739130435,0.7777777777777778,0.0,-2,0.4444444444444444,-3,0.484375,-2,0.5714285714285714,3,0.5,0,0.5454545454545454,5,0.5714285714285714,5
46,21800024,Warriors,124,1,0.3793103448275862,-7,0.7640449438202247,0.7209302325581395,0.8043478260869565,1.0,2,0.6111111111111112,4,0.6046511627906976,9,0.6774193548387096,11,0.6,1,0.71875,28,0.6896551724137931,11
47,21800024,Jazz,123,0,0.6206896551724138,7,0.7701149425287356,0.8235294117647058,0.5789473684210527,0.0,-2,0.3888888888888889,-4,0.3953488372093023,-9,0.3225806451612903,-11,0.4,-1,0.28125,-28,0.3103448275862069,-11
48,21800025,Thunder,92,0,0.6,2,0.7037037037037037,0.6727272727272727,0.7692307692307693,0.5,0,0.6470588235294118,5,0.631578947368421,10,0.4444444444444444,-1,0.5,0,0.4307692307692308,-9,0.4666666666666667,-2
49,21800025,Clippers,108,1,0.4,-2,0.6,0.532258064516129,0.7272727272727273,0.5,0,0.35294117647058826,-5,0.3684210526315789,-10,0.5555555555555556,1,0.5,0,0.5692307692307692,9,0.5333333333333333,2
50,21800026,Nets,112,0,0.4444444444444444,-1,0.7065217391304348,0.7205882352941176,0.6666666666666666,0.0,-2,0.5517241379310345,3,0.5416666666666666,6,0.6666666666666666,3,0.5555555555555556,1,0.5102040816326531,1,0.5555555555555556,3
51,21800026,Pacers,132,1,0.5555555555555556,1,0.7093023255813954,0.6122448979591837,0.8378378378378378,1.0,2,0.4482758620689655,-3,0.4583333333333333,-6,0.3333333333333333,-3,0.4444444444444444,-1,0.4897959183673469,-1,0.4444444444444444,-3
